27,11,Blood on the Clocktower: Psi Press Master Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
,Outcome,Final Day,Storyteller,Player Count,Format,Script,Win,Loss,Aden,Alexandra,Andreas,Anika,Asher,August,Carina,Carlos,Chris,Filippos,Hanlei,Izzy,Jack,Jasmine,Josh,Joy,Karen,Kate,Marcus,Morgan,Natalie,Pavlik,Purpleline,Raj,Rebecca,Ren,Rohan,Ryan,Sara,Spencer,Tyler,Vic,Vincent,Wendell,Will,Yaran,Ziad
9/13/25,Good,FALSE,Anika,7,Online,Trouble Brewing,"Aden, Alexandra, Raj, Rohan, Ryan","Will, Ziad",Ravenkeeper,Chef,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Empath,n/a,n/a,Fortune Teller,Monk,n/a,n/a,n/a,n/a,n/a,n/a,Imp,n/a,Poisoner
9/13/25,Good,TRUE,Anika,7,Online,Trouble Brewing,"Aden, Alexandra, Rohan, Vincent, Ziad","Ryan, Raj",Undertaker,Mayor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Poisoner,n/a,n/a,Librarian,Imp,n/a,n/a,n/a,n/a,Ravenkeeper,n/a,n/a,n/a,Soldier
10/4/25,Evil,TRUE,"Anika, Jasmine",11,In-Person,Trouble Brewing,"Alexandra, Asher, Vincent","Aden, Natalie, Ren, Rohan, Ryan, Vic, Ziad, Tyler",Virgin,Imp,n/a,n/a,Poisoner,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Recluse,n/a,n/a,n/a,n/a,Investigator,Undertaker,Fortune Teller,n/a,n/a,Monk,Chef,Spy,n/a,n/a,n/a,Washerwoman
10/31/25,Evil,TRUE,"Anika, Rohan",13,In-Person,Trouble Brewing,"August, Ryan, Will, Ziad","Aden, Alexandra, Asher, Josh, Natalie, Vic, Vincent, Carina, Sara",Ravenkeeper,Saint,n/a,n/a,Monk,Poisoner,Chef,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Empath,n/a,n/a,n/a,n/a,n/a,Librarian,n/a,n/a,n/a,n/a,n/a,n/a,Imp,Slayer,n/a,n/a,Butler,Undertaker,n/a,Scarlet Woman,n/a,Baron
10/31/25,Evil,TRUE,"Rohan, Asher",8,In-Person,Trouble Brewing,"Carina, Natalie","Anika, Ryan, Vincent, Sara, Will, Josh",n/a,n/a,n/a,Mayor,n/a,n/a,Imp,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Washerwoman,n/a,n/a,n/a,n/a,n/a,Spy,n/a,n/a,n/a,n/a,n/a,n/a,Librarian,Empath,n/a,n/a,n/a,Drunk,n/a,Slayer,n/a,n/a
11/14/25,Evil,FALSE,"Anika, Rohan",8,In-Person,Sects & Violets,"Alexandra, Vic, Vincent","Carina, Natalie, Ryan, Will, Morgan",n/a,Klutz,n/a,n/a,n/a,n/a,Artist,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Juggler,Dreamer,n/a,n/a,n/a,n/a,n/a,n/a,Snake Charmer,n/a,n/a,n/a,Fang Gu,Cerenovus,n/a,Sweetheart,n/a,n/a
11/14/25,Evil,,"Anika, Natalie",7,In-Person,Sects & Violets,"Rohan, Will","Alexandra, Carina, Ryan, Vic, Vincent",n/a,Philosopher,n/a,n/a,n/a,n/a,Clockmaker,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Pit Hag,Flowergirl,n/a,n/a,n/a,Sage,Mathematician,n/a,Vigormortis,n/a,n/a
11/21/25,Good,TRUE,Anika,7,In-Person,Sects & Violets,"Purpleline, Will, Vincent, Spencer, Ryan","Carina, Asher",n/a,n/a,n/a,n/a,No Dashii,n/a,Cerenovus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Artist,n/a,n/a,n/a,n/a,Mathematician,n/a,Flowergirl,n/a,n/a,Snake Charmer,n/a,Seamstress,n/a,n/a
12/12/25,Good,,Anika,12,In-Person,Trouble Brewing,"Aden, Alexandra, Andreas, Asher, Filippos, Natalie, Vic, Will, Ziad","Josh, Kate, Vincent",Drunk,Monk,Undertaker,n/a,Mayor,n/a,n/a,n/a,n/a,Librarian,n/a,n/a,n/a,n/a,Poisoner,n/a,n/a,Spy,n/a,n/a,Fortune Teller,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Recluse,Imp,n/a,Chef,n/a,Investigator
12/27/25,Evil,TRUE,Anika,7,Online,Trouble Brewing,"Aden, Tyler","August, Vincent, Rohan, Raj, Karen",Imp,n/a,n/a,n/a,n/a,Undertaker,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Fortune Teller,n/a,n/a,n/a,n/a,n/a,n/a,Washerwoman,n/a,n/a,Mayor,n/a,n/a,n/a,Poisoner,n/a,Soldier,n/a,n/a,n/a,n/a
